ticket_id,runtime_asset_id,category,content_id,name,priority,status,runtime_now,deliverables,issue,next_action
CV-U-BLADE-R1,unit.blade.rank1,job,blade,劍士 Rank 1,P0,integrated_qa,existing directional sprite,idle | walk | attack | cast | hurt | death,"Integrated; verify foot-anchor drift, action-to-action scale, crop, and silhouette readability.",Run shared validator and Phaser action proof; close only after visual QA.
CV-U-BOW-R1,unit.bow.rank1,job,bow,弓手 Rank 1,P0,placeholder_ready,green diamond fallback,idle | walk | attack | cast | hurt | death,No source art.,"Produce identity turnaround, then one action strip per direction."
CV-U-ARCANE-R1,unit.arcane.rank1,job,arcane,法師 Rank 1,P0,placeholder_ready,violet hex fallback,idle | walk | attack | cast | hurt | death,No source art.,Produce identity turnaround and cast strips; deliver separate spell VFX.
CV-U-LIGHT-R1,unit.light.rank1,job,light,服事 Rank 1,P1,placeholder_ready,gold circle fallback,idle | walk | attack | cast | hurt | death,No source art.,Lock support silhouette and directional cast pose.
CV-U-SHADE-R1,unit.shade.rank1,job,shade,盜賊 Rank 1,P1,placeholder_ready,purple diamond fallback,idle | walk | attack | cast | hurt | death,No source art.,Approve identity turnaround with dual-weapon handedness locked.
CV-U-GEL-R1,unit.gel.rank1,job,gel,嫩芽軟泥 Rank 1,P1,placeholder_ready,green blob fallback,idle | walk | attack | cast | hurt | death,No source art; creature envelope needs approval.,Approve identity turnaround and squash/stretch envelope before animation.
CV-M-SPROUT,monster.sprout,monster,sprout,苔芽獸,P0,placeholder_ready,green blob fallback,idle | walk | attack | hurt | death,No source art.,Produce first monster set as pipeline reference.
CV-M-MOTH,monster.moth,monster,moth,針翅蟲,P1,placeholder_ready,paired-wing fallback,idle | fly | attack | hurt | death,No source art.,Animate clean flight loop and directional attack.
CV-M-FUNGUS,monster.fungus,monster,fungus,紫帽菇,P1,placeholder_ready,mushroom fallback,idle | walk | attack | hurt | death,No source art.,Lock cap/stem proportions before action animation.
CV-M-GOLEM,monster.golem,monster,golem,頁岩巨像,P1,placeholder_ready,stone-square fallback,idle | walk | attack | hurt | death,No source art; envelope size requires approval.,Approve 96 or 128 cell envelope and weapon crop budget.
CV-M-SHAMAN,monster.shaman,monster,shaman,燭角巫獸,P2,placeholder_ready,red hex fallback,idle | walk | attack | hurt | death,No source art.,Define projectile origin and directional release frame.
CV-M-MONARCH,monster.monarch,boss,monarch,荒角王獸,P1,placeholder_ready,horned crown fallback,idle | walk | attack | hurt | death | portrait,No source art; boss envelope and crop budget need approval.,"Approve boss turnaround, cell size, crop budget, and HUD portrait."
CV-B-BARRICADE,building.barricade,building,barricade,木石路障,P0,placeholder_ready,drawn wall fallback,intact | damaged | destroyed,No source art; runtime supports static-sprite replacement.,"Deliver intact PNG first, then damaged/debris states."
CV-B-ARROWTOWER,building.arrow-tower,building,arrow-tower,弩箭塔,P0,placeholder_ready,drawn tower fallback,base | aim_or_fire_optional,No source art; muzzle origin not documented.,Deliver static base and document muzzle origin.
CV-VFX-PROJECTILES,,vfx,,,P1,runtime_temp,runtime circles,arrow | arcane_orb | holy_bolt | shaman_bolt,Current circles prove timing only.,Replace after actor release frames are locked.
CV-VFX-SKILLS,,vfx,,,P1,runtime_temp,runtime expanding rings,cleave | nova | heal | execute | slow_field,Current rings do not express class identity.,Match authored effect radius to gameplay radius within half a cell.
CV-UI-ICONS,,ui,,,P2,backlog,text glyphs,job | building | trait | gold | crystal | phase_icons,Glyph appearance varies by platform font.,Create 32px and 64px icon family after silhouettes are approved.
CV-ENV-BOARD,,environment,,,P2,runtime_temp,procedural board,tiles | eight_gates | crystal_platform | blocker_decal,Functional but generic environment.,Define reusable tile palette and seamless set.
